hash_rate 0.0_avg 0.0_stddev 0.5_avg 0.5_stddev 1.0_avg 1.0_stddev lower_bound upper_bound expected_honest
0.38 1.87332384826 0.0272226323224 1.89039496856 0.0294710489079 1.87644936044 0.0313422758399 1.34118 2.53333 1.87332384826
0.39 1.92915037275 0.0325875394781 1.94883331589 0.03133013358 1.93011663213 0.0277946705071 1.37647 2.6 1.92915037275
0.4 1.98386585185 0.0297281613174 2.00752257868 0.0281133726837 1.98927141692 0.0265548194038 1.41176 2.66667 1.98386585185
0.41 2.04752592509 0.0281609031359 2.06626893086 0.0298632103595 2.04610187579 0.0333222652287 1.44706 2.73333 2.04752592509
0.42 2.10469803826 0.0277668236877 2.13104158548 0.0306162524697 2.10633514809 0.0264402708466 1.48235 2.8 2.10469803826
0.43 2.16303235708 0.0267183993178 2.18179477839 0.0310703471758 2.16626546341 0.0333582730622 1.51765 2.86667 2.16303235708
0.44 2.22774090918 0.0312558734929 2.24391320172 0.0292418406247 2.22645242192 0.0300269515576 1.55294 2.93333 2.22774090918
0.45 2.28591593858 0.0326359374808 2.30935432223 0.0324363187153 2.28247610937 0.0295802199831 1.58824 3 2.28591593858
0.46 2.34667853528 0.0305351110125 2.37192207887 0.0320844653346 2.35173174887 0.0346589679733 1.62353 3.06667 2.34667853528
0.47 2.41662305239 0.0300155586238 2.42967574392 0.0342023858127 2.40905219946 0.0306118991336 1.65882 3.13333 2.41662305239
0.48 2.47589784349 0.0307659143283 2.4963215448 0.0349382715977 2.47560223301 0.0314056931771 1.69412 3.2 2.47589784349
0.49 2.53812297457 0.0325821821083 2.5528768618 0.0344405809567 2.53656220641 0.0321365928299 1.72941 3.26667 2.53812297457
0.5 2.60630544448 0.0338011860131 2.61658684587 0.0322254932104 2.60533138658 0.0313483555129 1.76471 3.33333 2.60630544448
