block_number 0.1_avg 0.1_stddev 0.33_avg 0.33_stddev 0.49_avg 0.49_stddev expected
0 9.64166666667 9.12511111043 5.9185 5.23872540425 5.19916666667 5.10781284733 10.0
1 9.80616666667 9.89874365064 6.2815 6.13300130215 5.21283333333 4.85361197403 10.0
2 9.87866666667 9.97727169343 6.44516666667 7.01473738124 5.78283333333 5.9139343245 10.0
3 10.0623333333 11.65662678 6.393 5.99582038683 5.08533333333 4.69526018685 10.0
4 8.916 8.74067055653 6.63 6.36628576522 5.3065 5.03433538315 10.0
5 8.1785 7.90386835494 6.16933333333 6.01098610878 5.07833333333 4.67152158176 10.0
6 7.81866666667 8.52812578081 7.38366666667 6.86488851573 4.37616666667 5.29414732144 10.0
7 7.99183333333 7.90426097993 6.3665 6.03299883741 5.04283333333 4.88187819901 10.0
8 8.82416666667 10.0567341659 6.40516666667 6.16470585718 5.0445 5.37360940926 10.0
9 8.91516666667 8.62248227182 6.38133333333 6.39823729198 5.64216666667 5.38939929398 10.0
10 11.1791666667 10.7267017233 7.1255 6.00092976824 4.99166666667 4.91603809541 10.0
11 8.9145 9.85846524426 5.76616666667 5.60238364696 5.58483333333 4.76625411676 10.0
12 9.72283333333 8.57715429855 7.592 7.31160587316 4.77733333333 4.96453171116 10.0
13 8.81133333333 8.46360669113 6.2725 6.34948527004 4.9695 4.92360079109 10.0
14 8.44766666667 11.0639271258 6.34466666667 5.96592773823 5.17716666667 5.26658526045 10.0
15 7.50366666667 7.65073038634 7.746 7.23259563058 5.40333333333 5.90615921447 10.0
16 8.76333333333 8.59625855306 6.57766666667 6.33671849006 5.65066666667 4.28300447505 10.0
17 9.54266666667 8.69297555501 6.12216666667 6.5544010045 5.77483333333 6.05766066646 10.0
18 8.37166666667 8.15546527728 8.03033333333 7.3009521373 5.72833333333 5.04979179989 10.0
19 8.92666666667 8.21675997242 8.28966666667 9.67606519545 5.36816666667 6.83794644896 10.0
20 9.01166666667 8.33856852223 6.01983333333 6.44437467659 5.077 5.74339465048 10.0
21 11.1575 10.8390091221 5.84483333333 5.82728767429 5.47783333333 5.54068039093 10.0
22 10.322 8.79402950239 6.988 7.23407410953 5.0835 4.41519000157 10.0
23 9.62283333333 10.7829527638 6.60983333333 6.65003095022 5.37966666667 5.71057429492 10.0
24 8.86383333333 7.91674563294 8.12483333333 7.44219669445 5.31166666667 5.46456997393 10.0
25 10.7471666667 11.6021171571 6.26366666667 5.63052364843 5.66566666667 5.81733941668 10.0
26 8.75433333333 9.41881704651 8.44333333333 7.38347817766 5.39766666667 5.42196511116 10.0
27 9.88466666667 12.1135410182 8.38716666667 10.0496431266 7.04683333333 7.29369007925 10.0
28 9.63 10.5881277854 6.4465 6.78951204882 5.47983333333 4.82527045586 10.0
29 8.99016666667 7.84033909946 7.63766666667 7.95119544471 5.99166666667 5.00850082915 10.0
30 10.4231666667 11.5051724829 6.29916666667 6.21105840641 5.961 5.09955075363 10.0
31 10.189 9.39618930442 7.41083333333 7.64581271569 6.30966666667 6.88870580491 10.0
32 9.0685 8.84593688745 6.70283333333 6.81266796123 5.726 4.86565875408 10.0
33 7.17683333333 7.57923914937 7.77416666667 9.45781433965 5.86833333333 5.94391215166 10.0
34 9.75833333333 10.329658083 6.771 6.4926576565 4.9165 4.50909789882 10.0
35 7.25533333333 7.81315801851 6.128 6.77899487797 6.4285 6.23770982502 10.0
36 11.959 10.8115335586 7.63266666667 9.10004973124 6.0245 6.57346959587 10.0
37 9.29683333333 8.91189551324 8.09316666667 8.58393463751 5.09983333333 4.61353955163 10.0
38 8.36533333333 7.81647145456 7.31116666667 6.83017083526 7.12716666667 7.2957756632 10.0
39 8.7215 8.68998379202 6.07533333333 6.9258892249 6.264 5.6437500929 10.0
40 9.38366666667 10.5111890066 8.04716666667 8.2895938967 6.40183333333 6.53198918784 10.0
41 9.746 8.12990778955 7.44716666667 7.81486406187 5.75783333333 5.85819627862 10.0
42 9.612 9.00945678471 7.51883333333 7.65312959042 5.5165 4.99868954772 10.0
43 9.30566666667 12.3204099454 8.00433333333 7.3775461217 5.96083333333 4.77432390502 10.0
44 9.82816666667 8.74736077499 8.262 7.89042847731 4.93683333333 4.27949652737 10.0
45 8.70666666667 9.71944442857 7.974 6.65264789388 5.76133333333 4.65556111906 10.0
46 10.7186666667 13.2655374896 7.52433333333 7.75211670735 5.91083333333 6.20995990996 10.0
47 8.74133333333 9.67155062829 7.16633333333 6.71071364809 7.14066666667 7.41982566432 10.0
48 9.91816666667 12.9556202079 7.83766666667 7.86603621061 5.37616666667 5.40202495726 10.0
49 8.677 9.0116205165 7.5375 6.78731225441 5.71716666667 5.42301753588 10.0
50 7.727 7.03412783032 8.463 8.50503170678 5.3035 5.17533750644 10.0
51 9.39116666667 8.80241931864 7.598 6.36974152624 6.60916666667 5.96695687143 10.0
52 7.03216666667 6.35844637514 7.90433333333 7.85162213247 5.43283333333 6.19112377835 10.0
53 11.2141666667 11.5323092934 8.73583333333 9.14759724828 6.32566666667 6.13016196088 10.0
54 10.4076666667 14.3804812584 7.15316666667 6.49252206388 5.72766666667 5.246431708 10.0
55 8.19283333333 8.11878215245 7.93916666667 8.52801441492 6.38933333333 6.48837358494 10.0
56 8.6705 8.67000892445 7.34666666667 7.33724024715 5.60333333333 5.5568631239 10.0
57 8.79966666667 8.93992884013 7.668 7.86863876411 6.27816666667 4.78409035531 10.0
58 9.17383333333 10.856662894 7.8045 6.56576637441 6.82433333333 6.35925284745 10.0
59 7.7115 8.42785582821 8.37583333333 8.33314078944 5.33066666667 4.96635050448 10.0
60 10.4488333333 10.0695959466 7.43116666667 5.59356855634 7.009 7.31990339189 10.0
61 9.161 9.85735377495 8.25733333333 8.1197298532 7.189 7.05479593374 10.0
62 7.666 7.21635061664 7.21983333333 7.62159894824 6.50983333333 6.7147321842 10.0
63 8.2735 8.18902452982 8.04666666667 7.93776766828 7.88166666667 7.96918248282 10.0
64 10.6758333333 9.23734851778 6.5115 5.81207684003 6.65633333333 6.50916651944 10.0
65 12.671 10.163590961 6.99183333333 6.58103102991 5.61216666667 5.56806212799 10.0
66 9.85366666667 9.88981844008 6.8295 6.32975418822 6.534 6.654859511 10.0
67 9.83933333333 8.9453760619 7.194 5.96855487814 6.215 5.66064017777 10.0
