hash_rate 0.0_avg 0.0_stddev 0.5_avg 0.5_stddev 1.0_avg 1.0_stddev expected_honest
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.01 0.00495517315589 0.000579375894044 0.00495410929272 0.000540220556067 0.00504396408158 0.000587633453076 0.005
0.02 0.0100177818994 0.000816861017745 0.00985893172408 0.000760784820944 0.00987242892832 0.000762762375038 0.01
0.03 0.014767790839 0.00083287627125 0.0149781970856 0.000953586297644 0.014728185621 0.000978631301764 0.015
0.04 0.0197969146586 0.00100869833887 0.0199808728003 0.0010365432307 0.0199080637697 0.00109899758648 0.02
0.05 0.0247470897215 0.00129130783549 0.024937122822 0.00115034831672 0.0248029710432 0.00125522582164 0.025
0.06 0.0296326272152 0.00117356054855 0.0298645302741 0.00117187811069 0.0297427164336 0.00132892014746 0.03
0.07 0.034951962836 0.00134915477144 0.0349179403063 0.00143865616714 0.03464751616 0.00159797300801 0.035
0.08 0.0399311119178 0.00177737940402 0.0399114074427 0.00145176355272 0.0398624228779 0.0015606484067 0.04
0.09 0.0447238696846 0.00178782598221 0.0449783730963 0.00158743575435 0.0448137632109 0.00155680477998 0.045
0.1 0.049773466914 0.00153727872424 0.0501016399302 0.00157736311612 0.0497186654901 0.0016309863647 0.05
0.11 0.0545871723443 0.00194208091748 0.0546900139275 0.00158360208309 0.0547386583978 0.00154952943705 0.055
0.12 0.0597843824723 0.00175563050928 0.0601513777739 0.00170537359517 0.0600825339515 0.00182159722047 0.06
0.13 0.0649565646462 0.00169707541739 0.064957037582 0.00188325360619 0.064891075927 0.00177904217724 0.065
0.14 0.0702058651666 0.00185551169028 0.0698194496775 0.00209836453969 0.070064005513 0.00193946833178 0.07
0.15 0.0749346742104 0.00206444893488 0.0748859281594 0.00235499523985 0.0751998018174 0.00224049298694 0.075
0.16 0.0802323825346 0.0024303588374 0.0802513273911 0.0022790634228 0.080075788753 0.00196421206136 0.08
0.17 0.0846079886127 0.0019436147256 0.0855274981577 0.00199911621398 0.085186551416 0.0020051468098 0.085
0.18 0.0902057360669 0.0018810024399 0.0903737041737 0.00246327713041 0.0901727599518 0.00216189792552 0.09
0.19 0.0949863254328 0.00224403433948 0.0952082562617 0.00215307613609 0.095058824281 0.0024007195631 0.095
0.2 0.100480017599 0.00229645119006 0.100610222407 0.00236597874213 0.100265997513 0.00258609935705 0.1
0.21 0.105630187679 0.0022222983424 0.105848422794 0.00219114694504 0.10571823027 0.0020264205492 0.105
0.22 0.110634638186 0.00242671286947 0.110827586927 0.0019227442383 0.110287927466 0.00249999101082 0.11
0.23 0.115749699561 0.00265395871796 0.116011552773 0.00225853598969 0.115377888817 0.00247028467244 0.115
0.24 0.120658472303 0.0026294565602 0.120729097753 0.00267082375575 0.120908658491 0.00259460487534 0.12
0.25 0.125642734765 0.00214786546316 0.125953774938 0.00214076752223 0.125779509063 0.00226406423617 0.125
0.26 0.130866830914 0.0021735082459 0.131774226496 0.00236948152974 0.130786802267 0.00232354817327 0.13
0.27 0.136189010427 0.00258756918221 0.136235570205 0.00240024472426 0.136190088235 0.00226633297306 0.135
0.28 0.141365496358 0.00256012789391 0.141553502945 0.00240500096005 0.14046339425 0.00253979132822 0.14
0.29 0.146162374658 0.00258917447376 0.146572642186 0.00272759975546 0.146536921375 0.00245883856306 0.145
0.3 0.151719057844 0.0025787962148 0.151550769845 0.00264439961605 0.151266282181 0.00214943478377 0.15
0.31 0.156385549798 0.00256492178708 0.15686694902 0.00254778556804 0.156986942614 0.00258063175686 0.155
0.32 0.162290339824 0.00269129337221 0.161703954073 0.00294935357118 0.161962387864 0.00230351197125 0.16
0.33 0.166842607686 0.00278853161095 0.166927374743 0.00266357194882 0.166987622515 0.00231797005144 0.165
0.34 0.171901368672 0.00238930747508 0.172661925769 0.00279423396972 0.172056222984 0.00244426527122 0.17
0.35 0.17788705128 0.00254980018944 0.177802824521 0.00280002723983 0.177367153752 0.00267484651554 0.175
0.36 0.182572219667 0.00322380059887 0.183070225341 0.00310108235809 0.182644845578 0.0025603107076 0.18
0.37 0.187852936129 0.00292219966434 0.188349646683 0.0027319799109 0.187895312998 0.00266587187814 0.185
0.38 0.192628751661 0.002949767033 0.193214796516 0.00272837717791 0.192825781018 0.00289188866069 0.19
0.39 0.198818346771 0.00250498341419 0.198659312763 0.00302977521175 0.198181589877 0.00287803149463 0.195
0.4 0.203931468182 0.00238788817069 0.203759303292 0.00318460601705 0.203677736999 0.00302679431411 0.2
0.41 0.208953254286 0.00286825676077 0.209072775864 0.00273889974058 0.208890581842 0.00268221681403 0.205
0.42 0.214161242009 0.00263128170553 0.213801780393 0.0028270076049 0.214148125805 0.00298794725327 0.21
0.43 0.218683540922 0.00288318456801 0.219609032052 0.0030379966539 0.219079192391 0.0027608591328 0.215
0.44 0.224388581221 0.00267445415629 0.224694631453 0.00271563857918 0.224246391234 0.00263434704391 0.22
0.45 0.229602044497 0.00295829495848 0.22977784947 0.00317094789579 0.229990064975 0.00317745192327 0.225
0.46 0.234954066476 0.00297460348482 0.235284243643 0.00335785117404 0.23434174957 0.00272918662931 0.23
0.47 0.240589860583 0.00272591245656 0.240241746721 0.00295392486986 0.240784723619 0.00295476790669 0.235
0.48 0.24537872359 0.00263124533848 0.24572797664 0.00254273047511 0.245608793406 0.00295785576011 0.24
0.49 0.250763765611 0.00267497860522 0.251348437796 0.00253122894006 0.251063715823 0.00265057179872 0.245
0.5 0.256488166752 0.00297226979865 0.256719552735 0.00297510649577 0.256184561373 0.00283344268614 0.25
