block_number 0.1_avg 0.1_stddev 0.33_avg 0.33_stddev 0.49_avg 0.49_stddev 0.1_expected 0.33_expected 0.49_expected
21 0.010544902234 0.00745033252086 0.050752962486 0.0197837161602 0.095299971241 0.0294385049874 0.01 0.033 0.049
22 0.0103497751363 0.00696482535389 0.0507269428697 0.0194989711733 0.0953271428218 0.0298645572015 0.01 0.033 0.049
23 0.0101750798939 0.00670658130138 0.0502387574384 0.0188668318282 0.0950850906052 0.0297741884191 0.01 0.033 0.049
24 0.0102220199891 0.00644710999514 0.0500877786738 0.017487745243 0.0954941567498 0.0293282804067 0.01 0.033 0.049
25 0.0101506906535 0.00629673449527 0.0503899218183 0.0167655318404 0.0953093323308 0.0275474568587 0.01 0.033 0.049
26 0.01012868643 0.00599601893926 0.0500681154768 0.0171408800166 0.0953388686126 0.0275463148485 0.01 0.033 0.049
27 0.0101146639988 0.00586058148615 0.0493635134131 0.016756321182 0.0940799795552 0.026042226339 0.01 0.033 0.049
28 0.0100906725324 0.00573570783642 0.0494518389882 0.0168744452326 0.0942615977096 0.0257781842976 0.01 0.033 0.049
29 0.0102850450188 0.00597150130378 0.0490123452315 0.0157153792547 0.0937211695692 0.0250861460909 0.01 0.033 0.049
30 0.0103080387363 0.00588414627698 0.0490873706881 0.0157296910368 0.0935462690514 0.0240337743268 0.01 0.033 0.049
31 0.0104079984188 0.00591970394203 0.0486345379148 0.0151716525048 0.0930681519344 0.0239338559427 0.01 0.033 0.049
32 0.0103611518498 0.00572367743484 0.048715457638 0.0149981263864 0.0925304768581 0.023107205602 0.01 0.033 0.049
33 0.0104512555577 0.00570693617838 0.0482293415101 0.0141246835219 0.0919917862141 0.0230313427825 0.01 0.033 0.049
34 0.010384166222 0.00551763629018 0.048294813514 0.0138462801229 0.0925157895382 0.0230832156828 0.01 0.033 0.049
35 0.0103358803937 0.00550796581717 0.0484443715327 0.0134378726149 0.0916286275208 0.0225671365731 0.01 0.033 0.049
36 0.0103456973481 0.00528639582396 0.0485071774555 0.0134726957451 0.0916917337216 0.0227619839642 0.01 0.033 0.049
37 0.0103216143814 0.00532240126834 0.0480762210583 0.0133614960598 0.0915898964691 0.0220783317116 0.01 0.033 0.049
38 0.0103090975348 0.00517812248582 0.0481095403574 0.0129088828677 0.0911263696936 0.0214068814816 0.01 0.033 0.049
39 0.0102528060043 0.00504808457212 0.0482602368965 0.0127617746993 0.090749509543 0.0213894277294 0.01 0.033 0.049
40 0.0103323581566 0.00504740234663 0.0482090383623 0.0130278755418 0.0906116896977 0.0213208415255 0.01 0.033 0.049
41 0.0103670777286 0.00490304688885 0.0485103696429 0.0129063921184 0.0904695327693 0.0213324623151 0.01 0.033 0.049
42 0.0104318998021 0.00482769883938 0.0483739117703 0.0128321527078 0.0907194033373 0.0214628712287 0.01 0.033 0.049
43 0.0103901132019 0.00477707309344 0.0481823875906 0.0129909262648 0.0902382703411 0.0210488389995 0.01 0.033 0.049
