block_number 0.1_avg 0.1_stddev 0.33_avg 0.33_stddev 0.49_avg 0.49_stddev 0.1_expected 0.33_expected 0.49_expected
17 0.00377122726349 0.00589075245237 0.0248508881223 0.014419619786 0.042094127264 0.0182328974593 0.01 0.033 0.049
18 0.00390183183514 0.00607797407573 0.0255550383971 0.0141169376155 0.0426250319461 0.0182538193316 0.01 0.033 0.049
19 0.00379201947341 0.00572610448636 0.0254963034275 0.0136891721808 0.0426093174614 0.0180615000174 0.01 0.033 0.049
20 0.00419668518574 0.00597457296764 0.0255287283885 0.0135679610058 0.0420173486096 0.0174514358385 0.01 0.033 0.049
21 0.00448668999052 0.00590353430367 0.0255580126543 0.0129741316334 0.0421209295508 0.017490379519 0.01 0.033 0.049
22 0.00434226767434 0.00589912565859 0.0255726552922 0.0129956726306 0.0421053818318 0.0163128507441 0.01 0.033 0.049
23 0.00406867418016 0.00570442357263 0.0257003047245 0.0120603172115 0.0420523672284 0.0162210601215 0.01 0.033 0.049
24 0.00400868625708 0.00565446037447 0.025844091278 0.0122787748797 0.0421802644268 0.0160597352625 0.01 0.033 0.049
25 0.0040871338166 0.00567742198049 0.0256109873081 0.0121389261317 0.0429489155997 0.0154184339455 0.01 0.033 0.049
26 0.00417061786115 0.00542983314555 0.025862247392 0.0116393167068 0.0429233050225 0.0148899976394 0.01 0.033 0.049
27 0.00398414753698 0.00553366688712 0.0260014714235 0.0112272085956 0.0432286893288 0.0150611277358 0.01 0.033 0.049
28 0.00417816448853 0.00539915653771 0.0257054605431 0.0109709077557 0.0433193465552 0.0148769473849 0.01 0.033 0.049
29 0.00433702297062 0.00514654573905 0.0256843137631 0.0105744749812 0.0434031516537 0.0147691204033 0.01 0.033 0.049
30 0.00403481690695 0.00522663702378 0.0252034032895 0.0102977606182 0.0436698677944 0.0147293406358 0.01 0.033 0.049
31 0.00395046104164 0.00513176997618 0.0248917142459 0.00996719449426 0.0435313560125 0.0146344602167 0.01 0.033 0.049
32 0.00397898493837 0.00493245955756 0.0248392489793 0.00993249678941 0.0433952308529 0.0141324733577 0.01 0.033 0.049
33 0.00398206768819 0.00462320674746 0.0254195382675 0.0100828543639 0.0429658028647 0.0138148637691 0.01 0.033 0.049
34 0.00385717241363 0.00457871911074 0.02552605294 0.00984739174367 0.0432305524184 0.0138447217795 0.01 0.033 0.049
35 0.00373474926582 0.00457094056781 0.0254582972156 0.00987714235615 0.0432803818151 0.0135384641606 0.01 0.033 0.049
36 0.00381362577077 0.00445575189327 0.025389337888 0.00978127198356 0.0431816580782 0.013095202182 0.01 0.033 0.049
37 0.00366118256177 0.00426061816208 0.025563782284 0.00980031980888 0.0434181247504 0.0131211897267 0.01 0.033 0.049
38 0.00369546846392 0.004189766507 0.0255754087624 0.00991505031203 0.0435553442289 0.0128647495853 0.01 0.033 0.049
39 0.00372341011705 0.00413417377655 0.0256741352953 0.00988526775923 0.0436114783992 0.0124707845289 0.01 0.033 0.049
40 0.00361023665496 0.00404507302074 0.0258920671002 0.00984371113378 0.043732612772 0.0121749768105 0.01 0.033 0.049
