block_number 0.1_avg 0.1_stddev 0.33_avg 0.33_stddev 0.49_avg 0.49_stddev
38 6.91308434462e+19 1.16093534009e+18 6.93773122008e+19 1.1745360414e+18 6.95844984775e+19 1.15301524576e+18 
39 6.91339648033e+19 1.16660868312e+18 6.93901365616e+19 1.1721500077e+18 6.96052706068e+19 1.15624164755e+18 
40 6.91365524226e+19 1.16062520591e+18 6.94025784111e+19 1.16720094395e+18 6.96228583445e+19 1.15161698145e+18 
41 6.91426341879e+19 1.16173598579e+18 6.94146570358e+19 1.16064077839e+18 6.9642915294e+19 1.15226688879e+18 
42 6.9144321188e+19 1.16242183406e+18 6.94251623429e+19 1.1611145417e+18 6.96643652784e+19 1.15451627589e+18 
43 6.91417630789e+19 1.15118669459e+18 6.94384450694e+19 1.16539792522e+18 6.96853889121e+19 1.15116737982e+18 
44 6.91332929062e+19 1.15060669331e+18 6.94520597074e+19 1.16946714305e+18 6.97041050142e+19 1.15182198904e+18 
45 6.91437512762e+19 1.15118242205e+18 6.94634386595e+19 1.16113003332e+18 6.9727280865e+19 1.15428356911e+18 
46 6.91460557935e+19 1.14836875404e+18 6.94770103228e+19 1.16184466693e+18 6.97470674778e+19 1.15729783579e+18 
47 6.91494289502e+19 1.14911149068e+18 6.94864354814e+19 1.15834973402e+18 6.97688601766e+19 1.15759100401e+18 
48 6.91500697749e+19 1.14828119393e+18 6.9495241751e+19 1.15832587288e+18 6.97909507808e+19 1.15499354416e+18 
49 6.91571502224e+19 1.14810524781e+18 6.95115147336e+19 1.15810679403e+18 6.98144809505e+19 1.15670027551e+18 
50 6.91570740581e+19 1.14476100128e+18 6.95244093653e+19 1.15886454083e+18 6.98325023005e+19 1.15458479141e+18 
51 6.91578596415e+19 1.15268538104e+18 6.95345804698e+19 1.15869971202e+18 6.9851923876e+19 1.15431749861e+18 
52 6.91539393022e+19 1.16147744491e+18 6.95471532784e+19 1.16012628475e+18 6.98709873485e+19 1.15258824188e+18 
53 6.91509393008e+19 1.1643771975e+18 6.95570027926e+19 1.16104440401e+18 6.98928203992e+19 1.15316315745e+18 
54 6.9154319904e+19 1.16528467002e+18 6.95719740974e+19 1.16336252408e+18 6.99152910266e+19 1.15058073468e+18 
55 6.91474067445e+19 1.15729734808e+18 6.95835257522e+19 1.16406851034e+18 6.99374168744e+19 1.14730418649e+18 
56 6.91455936627e+19 1.17116567156e+18 6.95936092113e+19 1.15832113697e+18 6.99561755543e+19 1.14639629551e+18 
57 6.91428491021e+19 1.1694709036e+18 6.96038548709e+19 1.16204104703e+18 6.99779834394e+19 1.14362037765e+18 
58 6.91495384007e+19 1.1667425618e+18 6.96154271072e+19 1.16375474725e+18 7.00026019556e+19 1.14523326869e+18 
59 6.91485671744e+19 1.16998517424e+18 6.96255902938e+19 1.16221256207e+18 7.00238676197e+19 1.15029768552e+18 
60 6.91458164713e+19 1.16807192992e+18 6.96408887779e+19 1.1628215055e+18 7.00454081006e+19 1.15082179422e+18 
61 6.91464955323e+19 1.16880933875e+18 6.96565054384e+19 1.16189970506e+18 7.00676769427e+19 1.15372085767e+18 
62 6.91454760315e+19 1.16903277164e+18 6.96690933741e+19 1.16257073855e+18 7.00879238522e+19 1.15812405535e+18 
63 6.91463919527e+19 1.18435184142e+18 6.96803705877e+19 1.16621229026e+18 7.01052463348e+19 1.15080051862e+18 
64 6.91577244015e+19 1.17632820931e+18 6.96913422766e+19 1.17194505938e+18 7.0125762357e+19 1.14999368162e+18 
65 6.9164518177e+19 1.17963331033e+18 6.97046138139e+19 1.17250596962e+18 7.01486917667e+19 1.1498557585e+18 
66 6.91745870431e+19 1.1767294764e+18 6.97148190684e+19 1.17282297185e+18 7.01678489243e+19 1.14897152475e+18 
67 6.91745469199e+19 1.17532163959e+18 6.97269963624e+19 1.16896475201e+18 7.01901047629e+19 1.14875331687e+18 
68 6.91747669958e+19 1.16922225054e+18 6.97416471973e+19 1.17034755834e+18 7.02092457449e+19 1.14624473741e+18 
69 6.9177553462e+19 1.17508690219e+18 6.9751574694e+19 1.17416854968e+18 7.02294774164e+19 1.14715918281e+18 
70 6.91792864751e+19 1.17853691199e+18 6.97628116224e+19 1.17501408993e+18 7.02520560343e+19 1.14437140218e+18 
71 6.91776211045e+19 1.18042890959e+18 6.97750883371e+19 1.17654399478e+18 7.02722742265e+19 1.14381982031e+18 
72 6.91771464455e+19 1.17310217933e+18 6.97864363134e+19 1.1836701971e+18 7.02948730202e+19 1.14155395292e+18 
73 6.91863247429e+19 1.17721819906e+18 6.97973325565e+19 1.18382350662e+18 7.03168642322e+19 1.14362471388e+18 
74 6.91890270404e+19 1.17815742826e+18 6.98116076443e+19 1.1819698105e+18 7.03323224169e+19 1.14504710055e+18 
75 6.91923643677e+19 1.17641365639e+18 6.98204570605e+19 1.18197091831e+18 7.03556693099e+19 1.14534043149e+18 
76 6.91866094237e+19 1.17670001109e+18 6.98340750016e+19 1.18155757416e+18 7.03780002074e+19 1.14596377939e+18 
77 6.91961981262e+19 1.18487210722e+18 6.98415992413e+19 1.18363109438e+18 7.03989746359e+19 1.14738273027e+18 
78 6.91897951373e+19 1.18671502673e+18 6.98535267975e+19 1.18390792675e+18 7.04151260719e+19 1.14760205459e+18 
79 6.91922512039e+19 1.19301806588e+18 6.98626937009e+19 1.18199033135e+18 7.0439869845e+19 1.14745528253e+18 
80 6.91935938062e+19 1.19358909594e+18 6.98699281346e+19 1.18681679919e+18 7.04574565887e+19 1.15089816296e+18 
81 6.91990721003e+19 1.19847502623e+18 6.98826173337e+19 1.1912294131e+18 7.04753231973e+19 1.15018567993e+18 
82 6.92018436132e+19 1.20327802063e+18 6.98962531722e+19 1.19112745731e+18 7.04973299342e+19 1.14983018123e+18 
83 6.92052774816e+19 1.20740774477e+18 6.99116183115e+19 1.19213248375e+18 7.051281803e+19 1.15035293555e+18 
84 6.92103732855e+19 1.2095378255e+18 6.99191435839e+19 1.19369969951e+18 7.05306589982e+19 1.14720930809e+18 
85 6.9213731672e+19 1.20947100093e+18 6.99369376844e+19 1.19674230402e+18 7.05513758646e+19 1.15107727705e+18 
86 6.92191720985e+19 1.21218194764e+18 6.99484888064e+19 1.19396628727e+18 7.05706393106e+19 1.14997714096e+18 
87 6.92179955581e+19 1.20353448938e+18 6.99593573325e+19 1.19122358365e+18 7.05902390009e+19 1.1479378476e+18 
88 6.92216595216e+19 1.20151441004e+18 6.99716954382e+19 1.19443628234e+18 7.06092550508e+19 1.1522192958e+18 
89 6.92209704436e+19 1.20163203584e+18 6.99853472585e+19 1.19430105048e+18 7.06281950517e+19 1.15152476457e+18 
90 6.92231127204e+19 1.20930046797e+18 7.00007672459e+19 1.1975103366e+18 7.06500345189e+19 1.15906879983e+18 
91 6.92246664197e+19 1.20201235832e+18 7.0009588808e+19 1.19435118293e+18 7.06686109308e+19 1.1565240871e+18 
92 6.92242595867e+19 1.1989127652e+18 7.00219329085e+19 1.1972965754e+18 7.06842097822e+19 1.1616759488e+18 
93 6.92280682635e+19 1.20475045238e+18 7.00300277657e+19 1.1918249335e+18 7.07059387451e+19 1.16140174659e+18 
94 6.922561155e+19 1.20033100852e+18 7.00440430162e+19 1.19222683246e+18 7.07269693645e+19 1.16018204026e+18 
95 6.9225132282e+19 1.19290573283e+18 7.00617798512e+19 1.19013272251e+18 7.07497912403e+19 1.16260654584e+18 
96 6.92284767397e+19 1.19170040438e+18 7.00710297801e+19 1.19156363757e+18 7.07673845149e+19 1.16170507634e+18 
97 6.92345835816e+19 1.19347875526e+18 7.00854136994e+19 1.19311464093e+18 7.07884527501e+19 1.16164443613e+18 
98 6.92399690732e+19 1.19319584815e+18 7.00925289219e+19 1.18951887442e+18 7.08118847508e+19 1.15796926649e+18 
99 6.92389090029e+19 1.19116142648e+18 7.00987324054e+19 1.19269855913e+18 7.08305820144e+19 1.16021841753e+18 
100 6.92384120577e+19 1.18298917692e+18 7.01141535215e+19 1.19425940734e+18 7.08478197882e+19 1.15748389331e+18 
101 6.92491983241e+19 1.18171902293e+18 7.01228519123e+19 1.20308937706e+18 7.08692792402e+19 1.15886179468e+18 
102 6.9245273228e+19 1.19026503379e+18 7.01306142251e+19 1.19729190484e+18 7.08921298697e+19 1.16021489731e+18 
103 6.9239856311e+19 1.19101460843e+18 7.01398367938e+19 1.19690861168e+18 7.09094763591e+19 1.16325278904e+18 
104 6.92452607013e+19 1.19147507017e+18 7.01486788113e+19 1.19383087378e+18 7.09267117153e+19 1.15918032542e+18 
105 6.92441627224e+19 1.18749521679e+18 7.01594102404e+19 1.20115228257e+18 7.09495866659e+19 1.16092743427e+18 
106 6.92375137042e+19 1.17560966262e+18 7.01724554627e+19 1.20368302781e+18 7.09696986331e+19 1.16277798e+18 
107 6.92398790874e+19 1.1765428822e+18 7.01875266734e+19 1.20390277238e+18 7.09845615682e+19 1.16115558072e+18 
108 6.92351611284e+19 1.1783923037e+18 7.01986240555e+19 1.21209614278e+18 7.10057498409e+19 1.16450717002e+18 
109 6.92320989203e+19 1.17816531675e+18 7.0213002541e+19 1.21185385302e+18 7.10210338319e+19 1.16710456255e+18 
110 6.92299862873e+19 1.17390816137e+18 7.02239953369e+19 1.21363667135e+18 7.10404306268e+19 1.16639862296e+18 
