block_number 0.1_avg 0.1_stddev 0.33_avg 0.33_stddev 0.49_avg 0.49_stddev
63 6.90604773416e+19 1.19241518739e+18 6.93834554344e+19 1.13706558277e+18 6.96994012159e+19 1.15138992458e+18 
64 6.90627247873e+19 1.18661874737e+18 6.93946072639e+19 1.13651988237e+18 6.96883899479e+19 1.14709276697e+18 
65 6.90617491288e+19 1.18919822575e+18 6.94152480936e+19 1.13562765139e+18 6.97046349288e+19 1.13870428797e+18 
66 6.90643887492e+19 1.18688692928e+18 6.94300713529e+19 1.13019130728e+18 6.97545911443e+19 1.12777242108e+18 
67 6.90720498842e+19 1.18211006148e+18 6.9432600382e+19 1.12043909999e+18 6.97415927806e+19 1.17378815554e+18 
68 6.9064390167e+19 1.18861182845e+18 6.94459607394e+19 1.12920208006e+18 6.97676541655e+19 1.11706030744e+18 
69 6.90653512276e+19 1.18631225173e+18 6.94475580451e+19 1.12503218066e+18 6.97587997461e+19 1.11984712299e+18 
70 6.90739278856e+19 1.1954536668e+18 6.94577268129e+19 1.12630397972e+18 6.97437538103e+19 1.14805266675e+18 
71 6.90711942614e+19 1.19458868865e+18 6.94674230236e+19 1.11840806249e+18 6.97706112646e+19 1.14042108042e+18 
72 6.90715078911e+19 1.19418662582e+18 6.94881064569e+19 1.11762505488e+18 6.97888464938e+19 1.17447484002e+18 
73 6.9065715469e+19 1.19153161486e+18 6.94930073483e+19 1.10773867254e+18 6.98125829489e+19 1.16126537792e+18 
74 6.90670389373e+19 1.19104743352e+18 6.94897271679e+19 1.11603943351e+18 6.97945201422e+19 1.16511125439e+18 
75 6.9061527412e+19 1.20480818686e+18 6.9507707324e+19 1.11616761292e+18 6.98193490327e+19 1.1801172465e+18 
76 6.90576917581e+19 1.1984341034e+18 6.95226852265e+19 1.11982817428e+18 6.98370983827e+19 1.1844320009e+18 
77 6.90609948849e+19 1.19566860478e+18 6.95193648633e+19 1.12508830579e+18 6.98361534602e+19 1.17298329731e+18 
78 6.90566230192e+19 1.19785958762e+18 6.95343761128e+19 1.1090730328e+18 6.98499615418e+19 1.20486192452e+18 
79 6.90522286245e+19 1.19798285422e+18 6.95373027132e+19 1.1230181531e+18 6.98770752364e+19 1.17035468696e+18 
80 6.90512003238e+19 1.19765719994e+18 6.95593011543e+19 1.11951562197e+18 6.98685341409e+19 1.19584942183e+18 
81 6.9049503051e+19 1.19858115531e+18 6.95527771546e+19 1.11570180612e+18 6.9877226105e+19 1.18031782559e+18 
82 6.90430189588e+19 1.19492786974e+18 6.95677396177e+19 1.11704654448e+18 6.98767444821e+19 1.17246247685e+18 
83 6.9042014999e+19 1.19643810772e+18 6.95797713708e+19 1.12672949141e+18 6.98940082485e+19 1.18570545972e+18 
84 6.9054506784e+19 1.1983381066e+18 6.95906725221e+19 1.1093436796e+18 6.9895968328e+19 1.18928990898e+18 
85 6.90540440745e+19 1.19196187388e+18 6.95971151604e+19 1.10787589764e+18 6.9908472038e+19 1.17815388206e+18 
86 6.90506663733e+19 1.19270985281e+18 6.96063021083e+19 1.11068499238e+18 6.99129848569e+19 1.1828523981e+18 
87 6.90509199064e+19 1.18888028598e+18 6.96130016416e+19 1.106850361e+18 6.99402059741e+19 1.17336076883e+18 
88 6.90504654829e+19 1.18300280006e+18 6.96254274543e+19 1.1184207924e+18 6.99800274986e+19 1.20519216783e+18 
89 6.90578377126e+19 1.18114004498e+18 6.96506206574e+19 1.11984179053e+18 6.99717074281e+19 1.18325185193e+18 
90 6.90538325161e+19 1.18456095553e+18 6.96391450824e+19 1.12705607587e+18 6.99717000965e+19 1.18111591579e+18 
91 6.9054762711e+19 1.18044002554e+18 6.9652605366e+19 1.12022196455e+18 6.99614163232e+19 1.16095549436e+18 
92 6.90493279567e+19 1.17895869029e+18 6.96750085368e+19 1.11707856615e+18 6.99750610418e+19 1.18733744988e+18 
93 6.90472808826e+19 1.17853583862e+18 6.96839355152e+19 1.12242800141e+18 6.99537652473e+19 1.22571822398e+18 
94 6.90484758867e+19 1.17108742441e+18 6.96804674795e+19 1.12006872182e+18 7.00092879826e+19 1.18494238995e+18 
95 6.90484215717e+19 1.16865842405e+18 6.97010645302e+19 1.11026067303e+18 7.00044131074e+19 1.18116325517e+18 
96 6.90479973165e+19 1.16456800501e+18 6.97006220055e+19 1.12676324439e+18 7.00387712043e+19 1.19080642714e+18 
97 6.90430623842e+19 1.17295550226e+18 6.97060615428e+19 1.12786202085e+18 7.00212877442e+19 1.17144037264e+18 
98 6.90430357844e+19 1.17250303383e+18 6.97199266431e+19 1.12352872701e+18 7.00301698794e+19 1.2319670255e+18 
99 6.90403976756e+19 1.17691697043e+18 6.97397353812e+19 1.1270744295e+18 7.00145228837e+19 1.16490701453e+18 
100 6.90307078856e+19 1.18297839645e+18 6.97397818646e+19 1.13096098563e+18 7.00310329103e+19 1.19189304756e+18 
101 6.90303890465e+19 1.18473880944e+18 6.97494206197e+19 1.11734041667e+18 7.00628182069e+19 1.20788758825e+18 
102 6.90285512062e+19 1.17715179326e+18 6.97641913893e+19 1.1261422227e+18 7.00607296321e+19 1.22995340381e+18 
103 6.9024470455e+19 1.17595984005e+18 6.976132359e+19 1.11924340953e+18 7.00655927688e+19 1.16947606485e+18 
104 6.90244614212e+19 1.17648041932e+18 6.97813040139e+19 1.11169455941e+18 7.00671453115e+19 1.20746993763e+18 
105 6.902916993e+19 1.17713404601e+18 6.97933429231e+19 1.11913757994e+18 7.00789084623e+19 1.1922975572e+18 
106 6.90224287939e+19 1.17848566443e+18 6.9799178178e+19 1.1233292007e+18 7.00944329513e+19 1.19972750187e+18 
107 6.90176999986e+19 1.17911242238e+18 6.9819525115e+19 1.11638855392e+18 7.00873757827e+19 1.21254569102e+18 
108 6.90220718449e+19 1.17929057917e+18 6.98305459409e+19 1.12406033062e+18 7.009555914e+19 1.17115683643e+18 
109 6.90187822717e+19 1.16493948822e+18 6.98418088655e+19 1.12507994067e+18 7.01168386971e+19 1.17252082875e+18 
110 6.90210920712e+19 1.16313990416e+18 6.98493011483e+19 1.12601375736e+18 7.01256863449e+19 1.22885258218e+18 
111 6.90190240299e+19 1.1614142548e+18 6.98650625412e+19 1.13187915884e+18 7.01536204473e+19 1.17771503039e+18 
112 6.90187817215e+19 1.16793345533e+18 6.98830802024e+19 1.12742727826e+18 7.01309989527e+19 1.20697548407e+18 
113 6.90234757579e+19 1.16819845469e+18 6.98779101176e+19 1.12575379915e+18 7.01255437942e+19 1.20808245983e+18 
114 6.90210607277e+19 1.16625522506e+18 6.98845143827e+19 1.13455089198e+18 7.01866747252e+19 1.18840757555e+18 
115 6.90224509533e+19 1.16952317018e+18 6.98979100881e+19 1.14024996125e+18 7.01184656008e+19 1.20142406948e+18 
116 6.90206869756e+19 1.16588255584e+18 6.99065151842e+19 1.14560602702e+18 7.01867289756e+19 1.21777910421e+18 
117 6.90192728014e+19 1.16293648586e+18 6.99143500892e+19 1.14520548156e+18 7.01289093699e+19 1.2141955904e+18 
118 6.90250471058e+19 1.16784145882e+18 6.99262408372e+19 1.14225023161e+18 7.0184659381e+19 1.22194089646e+18 
