hash_rate 0.0_avg 0.0_stddev 0.5_avg 0.5_stddev 1.0_avg 1.0_stddev expected_honest
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.01 0.00519221230159 0.00091036607159 0.00753224206349 0.000981720011789 0.0100285218254 0.00100998431184 0.01
0.02 0.010767609127 0.00114007140036 0.0155865575397 0.00145968403581 0.0201314484127 0.00167940080159 0.02
0.03 0.0166393849206 0.00149442478283 0.0235007440476 0.00153304056048 0.0307849702381 0.00189471587809 0.03
0.04 0.0232180059524 0.00191091804127 0.032150297619 0.00198386500006 0.0411941964286 0.00235103448002 0.04
0.05 0.0297123015873 0.00217123696709 0.0404675099206 0.00213812519209 0.050703125 0.00246546085111 0.05
0.06 0.0367113095238 0.00246603867485 0.0492026289683 0.00239774115343 0.0617311507937 0.00290951267382 0.06
0.07 0.0442757936508 0.00266469482041 0.0581200396825 0.00291979471341 0.0722222222222 0.00319358359013 0.07
0.08 0.0518700396825 0.00267426673132 0.0672507440476 0.00263531862318 0.0824789186508 0.00334595818868 0.08
0.09 0.0600012400794 0.00290365980174 0.0762338789683 0.00326804441997 0.0943055555556 0.00326154923803 0.09
0.1 0.0680109126984 0.00307806184133 0.086365327381 0.00351449846876 0.104889632937 0.00354064071712 0.1
0.11 0.0763566468254 0.00336048328975 0.095794890873 0.00351830840873 0.115026041667 0.00395226561927 0.11
0.12 0.084517609127 0.00384081928524 0.105884176587 0.00383300387495 0.126471974206 0.00405385168866 0.12
0.13 0.0936805555556 0.00339778668449 0.115815972222 0.003758026501 0.137346230159 0.00402849549376 0.13
0.14 0.103490823413 0.00365679934703 0.125235615079 0.00419152328671 0.14900297619 0.0048918991808 0.14
0.15 0.113271329365 0.00415073588474 0.137154017857 0.00419570348011 0.160037202381 0.00417910131398 0.15
0.16 0.123020833333 0.00481645675991 0.146515376984 0.0042777346106 0.171214037698 0.00430002075119 0.16
0.17 0.133059275794 0.00473396931445 0.158225446429 0.00509400256828 0.182411954365 0.00425430205445 0.17
0.18 0.144285714286 0.00495462470952 0.168235367063 0.00505299626461 0.193111359127 0.00486845666945 0.18
0.19 0.153560267857 0.00444099742403 0.179833829365 0.0044169941948 0.206052827381 0.00524844879875 0.19
0.2 0.164910714286 0.00544785142747 0.191117311508 0.00440875875385 0.217186259921 0.00505130753929 0.2
0.21 0.175860615079 0.00457029462472 0.202351190476 0.00520665364071 0.229515128968 0.00514238933489 0.21
0.22 0.187624007937 0.00521691823654 0.214041418651 0.00613756495439 0.240086805556 0.00526000738363 0.22
0.23 0.198630952381 0.0048605138117 0.226407490079 0.00592483849326 0.253187003968 0.00521239153594 0.23
0.24 0.209973958333 0.00542000814388 0.237972470238 0.00528793150409 0.26584077381 0.00497674054559 0.24
0.25 0.222047371032 0.00633075017712 0.249978918651 0.00594501484427 0.278024553571 0.00557678719032 0.25
0.26 0.234992559524 0.00676174194495 0.263566468254 0.00640085196424 0.289577132937 0.00565254169965 0.26
0.27 0.246398809524 0.0070949647246 0.274773065476 0.00583525152934 0.30246155754 0.00598729465438 0.27
0.28 0.260259176587 0.00545713420467 0.28878844246 0.00652397951864 0.314992559524 0.00562688659451 0.28
0.29 0.272978670635 0.00710628234853 0.300654761905 0.00596545150597 0.327340029762 0.00598700390065 0.29
0.3 0.285796130952 0.00663247078484 0.313989335317 0.00645145244193 0.34045014881 0.00712053733403 0.3
0.31 0.299526289683 0.00714971691314 0.326248759921 0.00633076378002 0.353865327381 0.00627818895703 0.31
0.32 0.313618551587 0.00630367800736 0.340023561508 0.00600808854167 0.366529017857 0.00643716335523 0.32
0.33 0.328432539683 0.00750645514861 0.353506944444 0.00697705019041 0.380788690476 0.00600853657318 0.33
0.34 0.342981150794 0.00789645305266 0.367967509921 0.00745543088307 0.394730902778 0.00794345892827 0.34
0.35 0.35816344246 0.00808662695036 0.38384672619 0.00804069258086 0.407291666667 0.00710806742123 0.35
0.36 0.374058779762 0.00770771117381 0.39824280754 0.00736398878203 0.421334325397 0.00763593950741 0.36
0.37 0.390027281746 0.00903023682005 0.414182787698 0.00788833686506 0.436116071429 0.00720706388956 0.37
0.38 0.405422867063 0.00959464166353 0.430054563492 0.00723925833093 0.451667906746 0.00710465646035 0.38
0.39 0.422885664683 0.00832951949337 0.446753472222 0.00792180286068 0.468332093254 0.00880438280541 0.39
0.4 0.440460069444 0.00948818191295 0.462787698413 0.00863333386001 0.484924355159 0.00906833428369 0.4
0.41 0.459716021825 0.0104677886079 0.479841269841 0.0100737092921 0.502969990079 0.00878997392201 0.41
0.42 0.481899801587 0.0113048578642 0.50033234127 0.0113342016596 0.51833953373 0.00979769268804 0.42
0.43 0.498384176587 0.011691409525 0.519029017857 0.0107490115846 0.536154513889 0.00906148274863 0.43
0.44 0.522746775794 0.0132115456997 0.540946180556 0.012448429032 0.556086309524 0.0100167418199 0.44
0.45 0.549654017857 0.0145031413871 0.565770089286 0.0128038738517 0.579391121032 0.0125732709676 0.45
0.46 0.576928323413 0.0149995621829 0.589191468254 0.0129082328975 0.603408978175 0.0132155449935 0.46
0.47 0.607585565476 0.0204264016126 0.619311755952 0.0163908252256 0.628742559524 0.0141581917758 0.47
0.48 0.644227430556 0.0200819615957 0.649851190476 0.0198537674554 0.660963541667 0.0177770685846 0.48
0.49 0.67923859127 0.0210847830712 0.68404389881 0.0184587107302 0.694296875 0.0176586142928 0.49
0.5 0.716822916667 0.0190743912756 0.720177331349 0.014187467177 0.72369047619 0.013843248956 0.5
