block_number 0.1_avg 0.1_stddev 0.33_avg 0.33_stddev 0.49_avg 0.49_stddev expected
0 1.63016666667 1.5504438343 1.51933333333 1.40266357731 0.998833333333 0.966083890422 2.0
1 1.90833333333 1.75912620355 1.48766666667 1.76144136055 1.104 1.06358701258 2.0
2 1.78083333333 1.75944021243 1.3815 1.37854572124 1.18933333333 1.1077567924 2.0
3 2.05633333333 1.88359405275 1.3255 1.33061901844 1.01533333333 1.04173114467 2.0
4 1.78216666667 1.91125650206 1.42633333333 1.57366553696 1.19116666667 1.21188891818 2.0
5 1.617 1.94745415008 1.40183333333 1.26604128202 1.13433333333 1.11986561694 2.0
6 1.80416666667 1.56445655279 1.32033333333 1.1554089704 0.926666666667 0.951233117824 2.0
7 1.71983333333 1.51013004407 1.48333333333 1.39156586461 0.869833333333 0.761908039799 2.0
8 1.67133333333 1.57753161616 1.20466666667 1.27314370316 0.982166666667 0.999272666048 2.0
9 2.24133333333 1.69195232399 1.41683333333 1.23334120493 0.961 0.934199657461 2.0
10 1.636 1.41124003785 1.164 1.16266389526 0.9985 0.822661990127 2.0
11 1.71283333333 1.85035560396 1.1895 1.26201042213 1.27483333333 1.21903307539 2.0
12 1.57816666667 1.38315198611 1.45283333333 1.50995227114 0.8785 0.871289896265 2.0
13 1.73166666667 1.56040860034 1.25883333333 1.21396836633 1.01366666667 1.11728187033 2.0
14 1.99083333333 1.88589409241 1.51466666667 1.54527106576 0.895833333333 0.894971678633 2.0
15 1.44766666667 1.32430069596 1.40266666667 1.2261881313 0.9745 0.854245784954 2.0
16 1.7225 1.76588406408 1.30233333333 1.24792276292 0.962333333333 1.10808548607 2.0
17 2.109 2.13627716159 1.55316666667 1.37470945415 1.0835 1.36480665094 2.0
18 1.74566666667 1.74133827845 1.2335 1.09413460222 1.13 1.02348261669 2.0
19 1.91766666667 1.9665096265 1.40033333333 1.38500697953 1.1475 1.26995051303 2.0
20 1.98 2.32881825063 1.2455 1.27557145146 0.981666666667 0.917089296512 2.0
21 1.80416666667 1.53148870022 1.33483333333 1.23922712249 1.03983333333 1.09974718054 2.0
22 2.155 2.05946932215 1.5945 1.8353747044 1.05816666667 0.91355987154 2.0
23 1.51483333333 1.67910838609 1.13333333333 1.17310130282 1.174 1.34347253208 2.0
24 2.11283333333 2.07356892418 1.22533333333 1.13958442718 0.962166666667 0.864156155513 2.0
25 2.012 1.98023719118 1.2255 1.32228853592 1.0025 1.10304471301 2.0
26 1.79316666667 1.61340236595 1.55233333333 1.58750681538 0.97 0.984462628375 2.0
27 1.826 1.71302416147 1.25216666667 1.10582210494 1.07866666667 1.12826828961 2.0
28 1.79083333333 1.57382650286 1.48 1.47124286083 0.9435 0.916945094079 2.0
29 1.776 1.81682311253 1.35733333333 1.30165347838 0.840666666667 0.78095852785 2.0
30 1.7305 1.52277534456 1.15683333333 0.992309581509 1.127 1.06901766953 2.0
31 2.09183333333 1.77300983108 1.43883333333 1.13870310002 1.01166666667 1.03592283067 2.0
32 1.87583333333 1.96046816263 1.25833333333 1.26712382101 0.941 0.806785184131 2.0
33 2.1625 1.97123392687 1.41666666667 1.52573843688 1.1915 1.00780149886 2.0
34 1.92916666667 1.86438904947 1.3015 1.30595451469 1.26033333333 1.29192100722 2.0
35 1.71583333333 1.63296828404 1.14316666667 1.43341878621 0.895333333333 1.1125498241 2.0
36 1.92266666667 2.03230236158 1.16016666667 1.16368164556 1.12516666667 0.957730230516 2.0
37 2.09316666667 1.86591814606 1.37533333333 1.38624288396 1.094 0.979133744127 2.0
38 1.856 1.72209420313 1.25216666667 1.2446611654 0.980333333333 0.97708290334 2.0
39 1.97533333333 1.84909359177 1.23366666667 1.26511084275 0.891166666667 0.783012185942 2.0
40 1.667 1.82969028952 1.54616666667 1.54054798151 1.01733333333 1.0136757097 2.0
41 1.39416666667 1.32852544617 1.29266666667 1.20886153972 1.163 1.03786260063 2.0
42 1.80983333333 2.10095096854 1.2715 1.16079545284 0.9325 1.11336670359 2.0
43 1.8275 1.6410893655 1.38083333333 1.23880178443 0.973833333333 0.804422688088 2.0
44 2.29783333333 2.55945052154 1.361 1.54932999856 1.06466666667 1.0517162693 2.0
45 1.36783333333 1.36198232775 1.5905 1.61514749069 1.13 1.15608534864 2.0
46 1.79366666667 1.81560791778 0.969666666667 0.835930552671 1.25533333333 1.28677218911 2.0
47 1.683 1.86743433619 1.34616666667 1.20990554039 0.953333333333 0.779665170299 2.0
48 2.21633333333 2.23872977378 1.42166666667 1.3376565329 1.12333333333 1.36092288948 2.0
49 1.478 1.39242370627 1.10983333333 1.13869100042 1.06133333333 0.958137313286 2.0
50 1.78783333333 1.83279364026 1.26466666667 1.55862703115 1.09266666667 0.964443766001 2.0
51 1.63466666667 1.44299203047 1.40033333333 1.29854401372 1.099 1.01633005356 2.0
52 1.72066666667 1.77718116378 1.581 1.52652477507 1.00333333333 0.930191139259 2.0
53 1.7445 1.75596768984 1.38166666667 1.36879204654 1.05683333333 1.00050569158 2.0
54 1.64833333333 1.52408715849 1.52633333333 1.73115757675 0.988166666667 0.896528164644 2.0
55 1.74783333333 1.58750617672 1.146 0.99849086125 1.11483333333 0.986432672141 2.0
56 1.9305 2.00864251424 1.307 1.27783493109 1.0295 1.02857197393 2.0
57 1.6565 1.50875389165 1.57216666667 1.70301375834 1.27566666667 1.45753867873 2.0
58 1.88683333333 1.70336479912 1.3665 1.52705689154 0.821333333333 0.835936201712 2.0
59 1.75266666667 1.92077056297 1.3905 1.32569951137 0.9485 0.821340689226 2.0
60 2.1465 1.83406999594 1.224 1.04937102855 0.903 0.971534810951 2.0
61 1.7475 1.81422370145 1.49216666667 1.50213265985 1.02083333333 0.896224720703 2.0
62 1.81283333333 1.70267249901 1.7225 1.56354720463 1.02916666667 1.03530557754 2.0
63 1.72816666667 2.05677430161 1.21783333333 1.25766374017 1.285 1.29810010742 2.0
