block_number 0.1_avg 0.1_stddev 0.33_avg 0.33_stddev 0.49_avg 0.49_stddev
29 3.11512923249e+21 2.6289811873e+20 3.20246483002e+21 2.96246881825e+20 3.3473939477e+21 3.62881345646e+20 
30 3.11643761367e+21 2.65367424024e+20 3.21160036793e+21 2.98657501642e+20 3.3601763201e+21 3.66046973651e+20 
31 3.11398970668e+21 2.62263995308e+20 3.22015884014e+21 2.99833094315e+20 3.37217330493e+21 3.70618944463e+20 
32 3.11105456483e+21 2.60452398519e+20 3.22983892983e+21 3.03124143128e+20 3.38109291006e+21 3.75851582929e+20 
33 3.11164086496e+21 2.64482624806e+20 3.23642476918e+21 3.09479377829e+20 3.39735398531e+21 3.79443333219e+20 
34 3.1137472447e+21 2.61566144901e+20 3.24983594195e+21 3.18687827719e+20 3.41050124965e+21 3.79246842393e+20 
35 3.11941145294e+21 2.5858589017e+20 3.2549381982e+21 3.16550637007e+20 3.42672385714e+21 3.77402219745e+20 
36 3.1199287517e+21 2.55226054975e+20 3.26736814201e+21 3.22341677678e+20 3.44180243199e+21 3.80214571848e+20 
37 3.12986938597e+21 2.60577638269e+20 3.28004920649e+21 3.25695547383e+20 3.4527244221e+21 3.82671470629e+20 
38 3.12370836195e+21 2.59026569086e+20 3.29212933784e+21 3.28844845792e+20 3.46496233544e+21 3.88137952259e+20 
39 3.12435190134e+21 2.6182578377e+20 3.30245083975e+21 3.28651833722e+20 3.4849987101e+21 3.97633470599e+20 
40 3.12856128608e+21 2.56004953882e+20 3.30984802983e+21 3.30875986669e+20 3.49430410708e+21 3.94616774448e+20 
41 3.13021986874e+21 2.550509077e+20 3.32153364466e+21 3.3610506937e+20 3.50379400507e+21 3.93418970543e+20 
42 3.13252447526e+21 2.60149837821e+20 3.32668726122e+21 3.30075063658e+20 3.51078995075e+21 3.95237459793e+20 
43 3.1323555079e+21 2.61300818934e+20 3.33302200823e+21 3.28599038376e+20 3.53410372736e+21 3.93810834726e+20 
44 3.13593234371e+21 2.60444988489e+20 3.34456799101e+21 3.28089391364e+20 3.54965831801e+21 3.91644763702e+20 
45 3.13919800394e+21 2.60485206015e+20 3.34661318787e+21 3.27875856606e+20 3.56727144824e+21 4.01869655777e+20 
46 3.1426382005e+21 2.60422261179e+20 3.35443442391e+21 3.32340096006e+20 3.58857794662e+21 4.02088296662e+20 
47 3.14789631462e+21 2.59025396241e+20 3.35621312607e+21 3.32556351812e+20 3.60344330461e+21 4.02294345261e+20 
48 3.14863678923e+21 2.53606282117e+20 3.36757636104e+21 3.32910289342e+20 3.61927862059e+21 3.93839618588e+20 
49 3.15175698366e+21 2.52745143283e+20 3.37696655367e+21 3.36515512941e+20 3.63585972927e+21 3.93471687674e+20 
50 3.15506366476e+21 2.50173479042e+20 3.38396379537e+21 3.38340380716e+20 3.6570132551e+21 3.9364775367e+20 
51 3.16126021359e+21 2.56419457317e+20 3.39327781291e+21 3.4336104874e+20 3.67442315015e+21 3.917040826e+20 
52 3.16938956753e+21 2.57826398189e+20 3.3982930303e+21 3.38767164856e+20 3.69246062057e+21 3.89599799635e+20 
53 3.17256999375e+21 2.51245498094e+20 3.40746103305e+21 3.37331297876e+20 3.70760808599e+21 3.90178973313e+20 
54 3.18395720398e+21 2.52475246951e+20 3.41652810217e+21 3.39386162425e+20 3.72797380276e+21 3.97672447492e+20 
55 3.18274423144e+21 2.43083898367e+20 3.42518365576e+21 3.45496552279e+20 3.7450213329e+21 3.99581450849e+20 
56 3.18024940057e+21 2.4287102101e+20 3.437565793e+21 3.44732784308e+20 3.76381101298e+21 4.0901236502e+20 
57 3.18332361212e+21 2.45493715279e+20 3.44810602938e+21 3.54224764727e+20 3.77790047937e+21 4.08631596449e+20 
58 3.18906517367e+21 2.44573220113e+20 3.45555051427e+21 3.53962531552e+20 3.8004903236e+21 4.11993222924e+20 
59 3.18993447409e+21 2.45797595347e+20 3.46347123543e+21 3.59549446702e+20 3.81753174551e+21 4.10506013511e+20 
60 3.19299175209e+21 2.48220098412e+20 3.46890913748e+21 3.5819114344e+20 3.8372395852e+21 4.06546416555e+20 
61 3.19908592768e+21 2.47727999211e+20 3.47658715275e+21 3.58872986705e+20 3.85656689579e+21 4.13863077722e+20 
62 3.20467148518e+21 2.48685090336e+20 3.48811587061e+21 3.59185321785e+20 3.87068776855e+21 4.24032428261e+20 
63 3.20782308734e+21 2.51079098057e+20 3.5014245349e+21 3.62253123846e+20 3.8835747128e+21 4.20233687096e+20 
