block_number 0.1_avg 0.1_stddev 0.33_avg 0.33_stddev 0.49_avg 0.49_stddev 0.1_expected 0.33_expected 0.49_expected
0 0.0383269573453 0.125793955854 0.185728969638 0.492228073926 0.337375600287 0.619361621726 0.05 0.165 0.245
1 0.0655241753453 0.181895786473 0.254110571133 0.490381602972 0.416022572234 0.6094417964 0.05 0.165 0.245
2 0.0509843722214 0.151155005383 0.171410722847 0.23406813856 0.303282054198 0.314719261009 0.05 0.165 0.245
3 0.0289189512184 0.0666805947962 0.1419641554 0.188986130601 0.281236239445 0.232155183391 0.05 0.165 0.245
4 0.0181634084682 0.0497652652788 0.136204303264 0.137276763013 0.265003459274 0.175025458164 0.05 0.165 0.245
5 0.0190422463141 0.0434911570776 0.126639340241 0.124554995914 0.252334928758 0.152889635949 0.05 0.165 0.245
6 0.0185721298689 0.0407088338651 0.128851088679 0.115463727347 0.239162217642 0.139167522688 0.05 0.165 0.245
7 0.02267055957 0.0432565583781 0.133973073675 0.112221732243 0.237509747115 0.136504926691 0.05 0.165 0.245
8 0.0222378312417 0.040340187895 0.136291243566 0.108118625701 0.234158948513 0.124200984818 0.05 0.165 0.245
9 0.0218100520428 0.0399186233414 0.137119606411 0.102135202322 0.233400259165 0.119107800641 0.05 0.165 0.245
10 0.0208279150958 0.0383845554422 0.135564567103 0.0980914741238 0.236827941454 0.110106523226 0.05 0.165 0.245
11 0.0225471833768 0.0373617521859 0.134826156914 0.0984731437893 0.235907671934 0.110843260522 0.05 0.165 0.245
12 0.0210456706365 0.0347268076682 0.132840034622 0.0891403417852 0.235171641783 0.105146582533 0.05 0.165 0.245
13 0.0178597861659 0.0307444212574 0.131680644442 0.0879772476202 0.235636172862 0.100597687468 0.05 0.165 0.245
14 0.0179440277302 0.0301829030821 0.12988458361 0.0811420266141 0.230705578669 0.0916980136652 0.05 0.165 0.245
15 0.0166641072049 0.0292885390254 0.133266215884 0.075869854243 0.226690907292 0.0921700295433 0.05 0.165 0.245
16 0.0159643083077 0.0277436181355 0.131396498474 0.0737303079741 0.22769132084 0.089172304754 0.05 0.165 0.245
17 0.0149573115781 0.027063682175 0.130161656239 0.0719237005215 0.228900498095 0.0885625350754 0.05 0.165 0.245
18 0.0144225091417 0.0265337305291 0.132673039907 0.0684659755456 0.229200629719 0.0901622588903 0.05 0.165 0.245
19 0.0148593985022 0.0260388257727 0.134994422455 0.0671827846672 0.232844236127 0.0890356050861 0.05 0.165 0.245
20 0.0152207595866 0.0264261595789 0.133894854244 0.0665716309093 0.230596139967 0.0894903954628 0.05 0.165 0.245
21 0.0139958232019 0.02469461264 0.134746303184 0.0657680348087 0.22982676443 0.0870423947677 0.05 0.165 0.245
22 0.0137681993206 0.023638539396 0.133531739108 0.0660957115332 0.229278393636 0.0825834943025 0.05 0.165 0.245
23 0.0140582992876 0.0226249301264 0.134349429479 0.0657909291783 0.225880781108 0.0796719210088 0.05 0.165 0.245
24 0.0146603560862 0.0225811229445 0.131356036238 0.065473254294 0.225010591596 0.0785511375425 0.05 0.165 0.245
25 0.0133732311289 0.0220545302461 0.129767492695 0.0634668581007 0.224560369875 0.0777288482972 0.05 0.165 0.245
26 0.0142505070114 0.0235184807046 0.128217865407 0.0586322877164 0.22422266337 0.0771400033471 0.05 0.165 0.245
27 0.0152381667244 0.0232339836349 0.128988032393 0.0596392212363 0.222403397923 0.0722819562642 0.05 0.165 0.245
28 0.0158056404097 0.0232150498567 0.12564218426 0.0587280621213 0.222009188374 0.0702715814909 0.05 0.165 0.245
29 0.015420535959 0.022681384416 0.125391213194 0.0585374464371 0.223452987087 0.0693012037455 0.05 0.165 0.245
30 0.015043419503 0.022719444518 0.126991187836 0.0578852816595 0.222239553941 0.0669649198934 0.05 0.165 0.245
31 0.0144663404913 0.0235275329244 0.126806382908 0.0565919479655 0.22192602222 0.0657816632516 0.05 0.165 0.245
32 0.0135982182487 0.0229064103195 0.125656351893 0.0559932795806 0.220187999134 0.0641730824777 0.05 0.165 0.245
33 0.0138579303332 0.0212484601149 0.125684882959 0.0580758610602 0.220650979387 0.0625394112531 0.05 0.165 0.245
34 0.0143811303042 0.0220740122092 0.126082076533 0.0567696389362 0.219924553693 0.0631523121118 0.05 0.165 0.245
35 0.013988803151 0.0216661552531 0.124755676929 0.0555927840575 0.22016122506 0.0608917054736 0.05 0.165 0.245
36 0.013972411823 0.0200810389356 0.126861660294 0.0561156335276 0.220658074395 0.0608233508497 0.05 0.165 0.245
37 0.0147688352433 0.0210048891096 0.127519616265 0.0556326957208 0.220972186062 0.0586786454643 0.05 0.165 0.245
38 0.0145906196052 0.0218767823672 0.126336124083 0.0543866485079 0.220935176678 0.0565360496217 0.05 0.165 0.245
39 0.0148251100574 0.0219376207569 0.126470295064 0.0519040254575 0.220780696459 0.0550593931622 0.05 0.165 0.245
40 0.0135843609479 0.0208089110025 0.12758278962 0.0513205874857 0.221275986024 0.054367993667 0.05 0.165 0.245
