hash_rate 0.0_avg 0.0_stddev 0.5_avg 0.5_stddev 1.0_avg 1.0_stddev expected_honest
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.01 0.0098685515873 0.000957704229451 0.00994171626984 0.0010487369593 0.0100099206349 0.00107409486913 0.01
0.02 0.0197619047619 0.00166008790528 0.0203125 0.00167736492251 0.0198896329365 0.00167643824696 0.02
0.03 0.0300806051587 0.00207810478331 0.0298511904762 0.00193889729989 0.0297730654762 0.00195422462117 0.03
0.04 0.0398784722222 0.00216855667946 0.0398487103175 0.00201757673375 0.0401339285714 0.00212929390881 0.04
0.05 0.0499764384921 0.00248545410636 0.050105406746 0.00233460379201 0.0498288690476 0.00245901077972 0.05
0.06 0.0596019345238 0.00254102247706 0.0603881448413 0.00253846729813 0.0599206349206 0.00276368039101 0.06
0.07 0.0696937003968 0.00293511330157 0.0698053075397 0.00287244222551 0.0695399305556 0.00261241224598 0.07
0.08 0.0797842261905 0.00308940482173 0.0796912202381 0.00301151199344 0.0802095734127 0.00269902896344 0.08
0.09 0.0904117063492 0.00310914779713 0.0897916666667 0.00319303845501 0.0903174603175 0.00298201727893 0.09
0.1 0.0994060019841 0.00328908206919 0.100336061508 0.00329188614929 0.0995089285714 0.00284577653622 0.1
0.11 0.109972718254 0.00345781538533 0.110678323413 0.00347126966632 0.110017361111 0.00329769630918 0.11
0.12 0.119660218254 0.00382567277813 0.120562996032 0.00372546672913 0.120291418651 0.00352201991799 0.12
0.13 0.12980406746 0.00398112295125 0.130043402778 0.00351203327767 0.130143849206 0.00333581257007 0.13
0.14 0.140307539683 0.00399884045614 0.139376240079 0.00350301042331 0.139110863095 0.00415218479472 0.14
0.15 0.149676339286 0.00402812042676 0.15066468254 0.00397336290668 0.149743303571 0.00412897846629 0.15
0.16 0.160524553571 0.00438905608198 0.159966517857 0.00391670601575 0.159868551587 0.00431021262085 0.16
0.17 0.169873511905 0.00443508347446 0.169719742063 0.00422584332704 0.170055803571 0.00454360256433 0.17
0.18 0.179616815476 0.00490755842834 0.180308779762 0.00420068515446 0.180179811508 0.00374312795307 0.18
0.19 0.189526289683 0.00397159380163 0.190060763889 0.00351891502923 0.19017609127 0.00455806956027 0.19
0.2 0.199799107143 0.00486700361098 0.199797867063 0.00445684092507 0.19964781746 0.00520641144624 0.2
0.21 0.210533234127 0.00442639272547 0.20920014881 0.00464271852615 0.209403521825 0.00428036364159 0.21
0.22 0.219916914683 0.00417993560969 0.219877232143 0.00482051548929 0.219807787698 0.00362398019332 0.22
0.23 0.230316220238 0.00414527408035 0.228523065476 0.00461348507991 0.229970238095 0.00483902676008 0.23
0.24 0.240124007937 0.0049062191327 0.239878472222 0.00446069423987 0.239053819444 0.00476796744182 0.24
0.25 0.249632936508 0.00521435073783 0.250714285714 0.00456113665275 0.249646577381 0.00471224855729 0.25
0.26 0.25861359127 0.00501465832192 0.260217013889 0.00452531772968 0.260355902778 0.0051226384742 0.26
0.27 0.269382440476 0.00456522717079 0.269750744048 0.00579136593749 0.269621775794 0.00490767123402 0.27
0.28 0.280262896825 0.00483796013754 0.279149305556 0.00455458107625 0.278725198413 0.00501604116939 0.28
0.29 0.289750744048 0.00508243089825 0.289769345238 0.00441717244636 0.290091765873 0.00495502880266 0.29
0.3 0.299283234127 0.00488509996967 0.301184275794 0.00439546039114 0.300249255952 0.00486168983309 0.3
0.31 0.309933035714 0.00566328103319 0.30982390873 0.0049521317627 0.309945436508 0.00507209135927 0.31
0.32 0.319919394841 0.00585517244519 0.319813988095 0.00512997257195 0.319558531746 0.00594215908854 0.32
0.33 0.330416666667 0.00534246800497 0.330535714286 0.00486880237631 0.328825644841 0.0050823401261 0.33
0.34 0.339303075397 0.00483134729658 0.339497767857 0.00496912335299 0.33984375 0.00524236859809 0.34
0.35 0.350207093254 0.00530322822098 0.349738343254 0.0049998516004 0.350143849206 0.00520267076911 0.35
0.36 0.359911954365 0.00514742156487 0.359787946429 0.00550316023758 0.359872271825 0.00481241857357 0.36
0.37 0.369681299603 0.00478988243666 0.370457589286 0.00534768047403 0.37050719246 0.00490350196753 0.37
0.38 0.380218253968 0.00546599863751 0.380727926587 0.00596986351997 0.378663194444 0.00508436834573 0.38
0.39 0.389904513889 0.00591143882293 0.390603918651 0.0061498448919 0.390286458333 0.00521543989729 0.39
0.4 0.399698660714 0.00524599170947 0.400539434524 0.00571598236354 0.399906994048 0.00551759723175 0.4
0.41 0.41089905754 0.00536160456725 0.410032242063 0.00538215873961 0.410966021825 0.00569074717574 0.41
0.42 0.419748263889 0.00516395537108 0.420110367063 0.00560383769792 0.419592013889 0.00562799592394 0.42
0.43 0.430401785714 0.00530716648666 0.429914434524 0.00479129998838 0.430807291667 0.00589522970011 0.43
0.44 0.440414186508 0.00522679845165 0.44035218254 0.00486288233038 0.440505952381 0.0058446591524 0.44
0.45 0.449341517857 0.00582685556804 0.449547371032 0.00574739996854 0.450112847222 0.00541826124556 0.45
0.46 0.460541914683 0.00533665658605 0.459722222222 0.00586440860991 0.459837549603 0.00472154921628 0.46
0.47 0.471246279762 0.0058473826424 0.469229910714 0.00599297538915 0.470529513889 0.00560193071359 0.47
0.48 0.480569196429 0.00514505013146 0.48058531746 0.00555412485121 0.480095486111 0.00515236172916 0.48
0.49 0.489459325397 0.00583936505692 0.490243055556 0.00570977788396 0.490432787698 0.00556455475844 0.49
0.5 0.499944196429 0.0051707406249 0.500623759921 0.00542388245533 0.500264136905 0.00592069149587 0.5
