hash_rate 1.0_avg 1.0_stddev expected_honest
0.0 0.0998593284383 0.000758444127634 0.1
0.01 0.0999331844439 0.000820895092585 0.1
0.02 0.10003871404 0.000784010480151 0.1
0.03 0.0999378757715 0.000825924195 0.1
0.04 0.100042090447 0.000817636043936 0.1
0.05 0.10009212287 0.000656977095269 0.1
0.06 0.100023551857 0.000744310164269 0.1
0.07 0.100114784201 0.000789954710461 0.1
0.08 0.100204087787 0.000709531508624 0.1
0.09 0.100102883889 0.000725382685338 0.1
0.1 0.100384782118 0.000830369276446 0.1
0.11 0.100398795284 0.000814701468537 0.1
0.12 0.1004834684 0.000725477412924 0.1
0.13 0.100608302147 0.000766017432845 0.1
0.14 0.100814139578 0.000782427070724 0.1
0.15 0.100727806966 0.000750636553461 0.1
0.16 0.101002789872 0.000782413053534 0.1
0.17 0.10101829295 0.000842212042218 0.1
0.18 0.101099301117 0.000769477035865 0.1
0.19 0.10138441805 0.000784149582519 0.1
0.2 0.10136226839 0.000754150283328 0.1
0.21 0.101514223928 0.000764916920138 0.1
0.22 0.101562129477 0.000784613719402 0.1
0.23 0.101757457462 0.000813213362707 0.1
0.24 0.101944364292 0.000737796084636 0.1
0.25 0.102119771102 0.000785264910849 0.1
0.26 0.102240340457 0.000801331585199 0.1
0.27 0.102263612603 0.000764913642223 0.1
0.28 0.102367267123 0.000827599964403 0.1
0.29 0.102565778562 0.00074546326569 0.1
0.3 0.102702395695 0.000689598843587 0.1
0.31 0.102994766178 0.000728389874913 0.1
0.32 0.103074755975 0.000815623735836 0.1
0.33 0.10308304831 0.000702119239637 0.1
0.34 0.103358618056 0.000818208851662 0.1
0.35 0.103387144823 0.000718189970005 0.1
0.36 0.103526322494 0.000764872004703 0.1
0.37 0.103648340754 0.000749649103187 0.1
0.38 0.103843043737 0.000852135581527 0.1
0.39 0.103692242238 0.000997070016018 0.1
0.4 0.103805047171 0.000883072122066 0.1
0.41 0.103696976128 0.000888936992351 0.1
0.42 0.103749429097 0.000919420444962 0.1
0.43 0.103655716262 0.0010281442632 0.1
0.44 0.103491632944 0.000980380305824 0.1
0.45 0.103277699967 0.00108747425995 0.1
0.46 0.102986294835 0.00111781339795 0.1
0.47 0.102563137214 0.00115626737247 0.1
0.48 0.10194669319 0.001235732979 0.1
0.49 0.100820839504 0.00122324775058 0.1
0.5 0.100253736738 0.00085478159174 0.1
