hash_rate 0.0_avg 0.0_stddev 0.5_avg 0.5_stddev 1.0_avg 1.0_stddev lower_bound upper_bound expected_honest
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.01 0.00159581715522 0.00115556292886 0.024319803342 0.00367250227876 0.0463999691211 0.00495981528446 0.0352941 0.0666667 0.0418800158906
0.02 0.00646330727008 0.00287252402143 0.0487218072917 0.00578109314071 0.09493751688 0.0065792218733 0.0705882 0.133333 0.0861123333165
0.03 0.0147877103249 0.00395207368934 0.0783916916711 0.00731302650832 0.138690310821 0.00856101407106 0.105882 0.2 0.127893597713
0.04 0.0263840455748 0.00556609271751 0.108912343586 0.00796965667663 0.188504170053 0.0102429578013 0.141176 0.266667 0.173376313064
0.05 0.0406827143973 0.00646747076719 0.140449650567 0.0108162769607 0.236673455648 0.0114620256843 0.176471 0.333333 0.219079640512
0.06 0.0570127058693 0.00786040526212 0.172803959378 0.0103996723475 0.285456886583 0.0125331983886 0.211765 0.4 0.261712670406
0.07 0.0768611037639 0.0101966358131 0.205574987877 0.0104429301587 0.333405323058 0.0129202726552 0.247059 0.466667 0.307069561818
0.08 0.0999049284667 0.0107239862651 0.246066546158 0.0122834831483 0.38423374078 0.0139202120713 0.282353 0.533333 0.352900273584
0.09 0.12337435369 0.0113883696908 0.279102698917 0.0134716261052 0.432095202816 0.014709108577 0.317647 0.6 0.39581963469
0.1 0.150748928029 0.0149480179496 0.319402688918 0.0160296863378 0.481556322151 0.0137579989862 0.352941 0.666667 0.444148084491
0.11 0.180281611609 0.0134650538498 0.360014169554 0.0135637995826 0.53346941408 0.0177609652118 0.388235 0.733333 0.490911560801
0.12 0.211634280948 0.0151233186145 0.402063566391 0.0140902439191 0.5812458588 0.017904103581 0.423529 0.8 0.534798639386
0.13 0.248791401317 0.0172026050722 0.444364933961 0.0181951582286 0.632642933015 0.0166223700011 0.458824 0.866667 0.585527553472
0.14 0.280034376943 0.0181492144142 0.489733343039 0.018932169106 0.685093380875 0.0194138970397 0.494118 0.933333 0.630889605267
0.15 0.322532145543 0.017640976058 0.534400365293 0.0162350299244 0.738545907962 0.0179954241264 0.529412 1 0.67919442206
0.16 0.357440571658 0.016628836319 0.583428451785 0.0211182410556 0.789922692628 0.019913882596 0.564706 1.06667 0.725361125244
0.17 0.398304662102 0.0195283666587 0.6293697334 0.0228923182641 0.841150009204 0.0202013444013 0.6 1.13333 0.771094086291
0.18 0.446588115857 0.0211651726924 0.675299324503 0.0206121343622 0.89621397965 0.0227590397249 0.635294 1.2 0.82298053909
0.19 0.491199083036 0.0215000692994 0.726713024686 0.0233235209604 0.948264006618 0.0209851436614 0.670588 1.26667 0.873979853751
0.2 0.539969678087 0.0227270563424 0.777257244058 0.0227378159215 1.00228055668 0.0249561988604 0.705882 1.33333 0.91933904263
0.21 0.587497299424 0.0245550250657 0.83075266998 0.0198564047576 1.05214814654 0.0222296291999 0.741176 1.4 0.967407696881
0.22 0.640635876312 0.0234445422107 0.884272931794 0.0232074481244 1.11177912957 0.0224411565397 0.776471 1.46667 1.01689717904
0.23 0.69028194729 0.027978222133 0.938036100184 0.0239238867245 1.16463343231 0.0234144796032 0.811765 1.53333 1.06836233004
0.24 0.747304431065 0.0276312113575 0.992192211409 0.0241592231219 1.22549434301 0.0223802993367 0.847059 1.6 1.11436528481
0.25 0.805192160096 0.0286812111384 1.0542856411 0.0266128922974 1.27859126047 0.0236740272667 0.882353 1.66667 1.17114999714
0.26 0.866009052814 0.030686259822 1.11523858137 0.0267298671244 1.34060771068 0.0245803733026 0.917647 1.73333 1.21881888291
0.27 0.922256897867 0.0268517797082 1.1679171823 0.0256117106936 1.39811341834 0.0247528258714 0.952941 1.8 1.27154583557
0.28 0.985204277517 0.0275074333053 1.2325372774 0.0281393565227 1.45395941082 0.0245502694214 0.988235 1.86667 1.32691862478
0.29 1.05777505958 0.0287013133663 1.29447478795 0.0305834212573 1.51210902126 0.0240245842061 1.02353 1.93333 1.37851962044
0.3 1.12251382179 0.0293662451334 1.3592933873 0.0319640512612 1.57763506382 0.0258417853385 1.05882 2 1.43356955877
0.31 1.19477916621 0.0338571209448 1.42426342421 0.0325022082143 1.63486738489 0.027763447369 1.09412 2.06667 1.48885544226
0.32 1.26092400686 0.0404122305848 1.50484245858 0.0317375394991 1.69767684357 0.0275049508743 1.12941 2.13333 1.54213561794
0.33 1.334106599 0.0356916560861 1.56057856807 0.0302754566271 1.75974248984 0.0294805384646 1.16471 2.2 1.59510447043
0.34 1.41489810916 0.0435974829587 1.63973598761 0.0338072672776 1.82679840714 0.02827329042 1.2 2.26667 1.64836078219
0.35 1.49633448653 0.0418837290322 1.7083983171 0.034289483499 1.89862153296 0.0307910762971 1.23529 2.33333 1.70423077983
0.36 1.58564377916 0.0382768181297 1.79443043713 0.0369985771011 1.96365409884 0.0322035309365 1.27059 2.4 1.75841237399
0.37 1.68179819374 0.0473571419778 1.87212397037 0.0359088418458 2.04037397079 0.0327741572117 1.30588 2.46667 1.81203741313
0.38 1.77689501599 0.0519285267325 1.9588036178 0.0433429305063 2.10987799304 0.0338836089456 1.34118 2.53333 1.87332384826
0.39 1.87868281041 0.0494002402181 2.06143886619 0.0450741307182 2.1891704908 0.037531276347 1.37647 2.6 1.92915037275
0.4 1.99303880462 0.057070286446 2.15772224374 0.0441132078618 2.27563058122 0.0396980098122 1.41176 2.66667 1.98386585185
0.41 2.10334378404 0.0563674858526 2.25562119757 0.0557404849758 2.36301407079 0.0380252656951 1.44706 2.73333 2.04752592509
